c s2M s2V K N T kf km
0.1 0.1 0.02 100.0 1000 500 0.4248 0.1697
0.1 0.1 0.02 100.0 1000 1000 0.4699 0.0457
0.1 0.1 0.02 100.0 1000 1500 0.4664 0.0099
0.1 0.1 0.02 100.0 1000 2000 0.4824 0.0039
0.1 0.1 0.02 100.0 1000 2500 0.4871 0.0038
0.1 0.1 0.02 100.0 1000 3000 0.4932 0.0031
0.1 0.1 0.02 100.0 1000 3500 0.4982 0.0025
0.1 0.1 0.02 100.0 1000 4000 0.4953 0.0016
0.1 0.1 0.02 100.0 1000 4500 0.498 0.0014
0.1 0.1 0.02 100.0 1000 5000 0.4986 0.001
0.1 0.1 0.02 100.0 1000 5500 0.4956 0.0005
0.1 0.1 0.02 100.0 1000 6000 0.4958 0.0015
0.1 0.1 0.02 100.0 1000 6500 0.4983 0.0039
0.1 0.1 0.02 100.0 1000 7000 0.4968 0.0025
0.1 0.1 0.02 100.0 1000 7500 0.4973 0.0023
0.1 0.1 0.02 100.0 1000 8000 0.497 0.0086
0.1 0.1 0.02 100.0 1000 8500 0.498 0.0163
0.1 0.1 0.02 100.0 1000 9000 0.4953 0.0138
0.1 0.1 0.02 100.0 1000 9500 0.4973 0.0039
0.1 0.1 0.02 100.0 1000 10000 0.4984 0.0012
0.1 0.1 0.02 100.0 1000 500 0.3811 0.0261
0.1 0.1 0.02 100.0 1000 1000 0.4612 0.0143
0.1 0.1 0.02 100.0 1000 1500 0.4516 0.0093
0.1 0.1 0.02 100.0 1000 2000 0.4927 0.0038
0.1 0.1 0.02 100.0 1000 2500 0.4917 0.0054
0.1 0.1 0.02 100.0 1000 3000 0.4958 0.0059
0.1 0.1 0.02 100.0 1000 3500 0.4943 0.0069
0.1 0.1 0.02 100.0 1000 4000 0.4977 0.0151
0.1 0.1 0.02 100.0 1000 4500 0.498 0.0053
0.1 0.1 0.02 100.0 1000 5000 0.4994 0.0034
0.1 0.1 0.02 100.0 1000 5500 0.4995 0.005
0.1 0.1 0.02 100.0 1000 6000 0.4995 0.0077
0.1 0.1 0.02 100.0 1000 6500 0.498 0.0026
0.1 0.1 0.02 100.0 1000 7000 0.499 0.0061
0.1 0.1 0.02 100.0 1000 7500 0.4986 0.0085
0.1 0.1 0.02 100.0 1000 8000 0.4972 0.0117
0.1 0.1 0.02 100.0 1000 8500 0.4977 0.014
0.1 0.1 0.02 100.0 1000 9000 0.4992 0.01
0.1 0.1 0.02 100.0 1000 9500 0.499 0.0078
0.1 0.1 0.02 100.0 1000 10000 0.4978 0.0018
0.1 0.1 0.02 100.0 1000 500 0.3739 0.2736
0.1 0.1 0.02 100.0 1000 1000 0.4724 0.1644
0.1 0.1 0.02 100.0 1000 1500 0.4592 0.0415
0.1 0.1 0.02 100.0 1000 2000 0.4798 0.0205
0.1 0.1 0.02 100.0 1000 2500 0.4957 0.047
0.1 0.1 0.02 100.0 1000 3000 0.499 0.0104
0.1 0.1 0.02 100.0 1000 3500 0.499 0.0268
0.1 0.1 0.02 100.0 1000 4000 0.4998 0.0151
0.1 0.1 0.02 100.0 1000 4500 0.4999 0.0114
0.1 0.1 0.02 100.0 1000 5000 0.4997 0.0131
0.1 0.1 0.02 100.0 1000 5500 0.4991 0.0081
0.1 0.1 0.02 100.0 1000 6000 0.4985 0.0045
