c s2M s2V K N T kf km
0.1 0.1 0.01 100.0 500 500 0.3448 0.2146
0.1 0.1 0.01 100.0 500 1000 0.4274 0.18
0.1 0.1 0.01 100.0 500 1500 0.4886 0.137
0.1 0.1 0.01 100.0 500 2000 0.4868 0.0814
0.1 0.1 0.01 100.0 500 2500 0.4914 0.0435
0.1 0.1 0.01 100.0 500 3000 0.4873 0.0416
0.1 0.1 0.01 100.0 500 3500 0.4796 0.0248
0.1 0.1 0.01 100.0 500 4000 0.4944 0.0141
0.1 0.1 0.01 100.0 500 4500 0.4971 0.0144
0.1 0.1 0.01 100.0 500 5000 0.4977 0.019
0.1 0.1 0.01 100.0 500 5500 0.4982 0.0217
0.1 0.1 0.01 100.0 500 6000 0.4983 0.0119
0.1 0.1 0.01 100.0 500 6500 0.4979 0.0095
0.1 0.1 0.01 100.0 500 7000 0.499 0.0059
0.1 0.1 0.01 100.0 500 7500 0.4984 0.0038
0.1 0.1 0.01 100.0 500 8000 0.4992 0.0032
0.1 0.1 0.01 100.0 500 8500 0.4998 0.0015
0.1 0.1 0.01 100.0 500 9000 0.4999 0.0008
0.1 0.1 0.01 100.0 500 9500 0.4993 0.0005
0.1 0.1 0.01 100.0 500 10000 0.4991 0.0002
0.1 0.1 0.01 100.0 500 500 0.3024 0.217
0.1 0.1 0.01 100.0 500 1000 0.2822 0.216
0.1 0.1 0.01 100.0 500 1500 0.264 0.2794
0.1 0.1 0.01 100.0 500 2000 0.2667 0.2474
0.1 0.1 0.01 100.0 500 2500 0.3695 0.2431
0.1 0.1 0.01 100.0 500 3000 0.4457 0.1952
0.1 0.1 0.01 100.0 500 3500 0.4511 0.1623
0.1 0.1 0.01 100.0 500 4000 0.4701 0.1299
0.1 0.1 0.01 100.0 500 4500 0.4782 0.1963
0.1 0.1 0.01 100.0 500 5000 0.4711 0.1866
0.1 0.1 0.01 100.0 500 5500 0.4617 0.1195
0.1 0.1 0.01 100.0 500 6000 0.4749 0.1086
0.1 0.1 0.01 100.0 500 6500 0.479 0.031
0.1 0.1 0.01 100.0 500 7000 0.4722 0.0322
0.1 0.1 0.01 100.0 500 7500 0.4933 0.0259
0.1 0.1 0.01 100.0 500 8000 0.4962 0.0307
0.1 0.1 0.01 100.0 500 8500 0.4975 0.0587
0.1 0.1 0.01 100.0 500 9000 0.4976 0.0679
0.1 0.1 0.01 100.0 500 9500 0.496 0.1049
0.1 0.1 0.01 100.0 500 10000 0.4899 0.0629
0.1 0.1 0.01 100.0 500 500 0.2999 0.1284
0.1 0.1 0.01 100.0 500 1000 0.4368 0.0988
0.1 0.1 0.01 100.0 500 1500 0.4674 0.2158
0.1 0.1 0.01 100.0 500 2000 0.4881 0.2442
0.1 0.1 0.01 100.0 500 2500 0.4907 0.1445
0.1 0.1 0.01 100.0 500 3000 0.4942 0.0965
0.1 0.1 0.01 100.0 500 3500 0.4927 0.0602
0.1 0.1 0.01 100.0 500 4000 0.488 0.043
0.1 0.1 0.01 100.0 500 4500 0.4843 0.0089
0.1 0.1 0.01 100.0 500 5000 0.4863 0.0088
0.1 0.1 0.01 100.0 500 5500 0.4923 0.0044
0.1 0.1 0.01 100.0 500 6000 0.4882 0.0071
0.1 0.1 0.01 100.0 500 6500 0.4847 0.0045
0.1 0.1 0.01 100.0 500 7000 0.4884 0.004
0.1 0.1 0.01 100.0 500 7500 0.4957 0.0039
0.1 0.1 0.01 100.0 500 8000 0.4976 0.0017
0.1 0.1 0.01 100.0 500 8500 0.4974 0.0019
0.1 0.1 0.01 100.0 500 9000 0.4941 0.0016
0.1 0.1 0.01 100.0 500 9500 0.4883 0.0008
0.1 0.1 0.01 100.0 500 10000 0.4966 0.0011
0.1 0.1 0.01 100.0 500 500 0.4074 0.2119
0.1 0.1 0.01 100.0 500 1000 0.4602 0.1558
0.1 0.1 0.01 100.0 500 1500 0.4658 0.0706
0.1 0.1 0.01 100.0 500 2000 0.451 0.1121
0.1 0.1 0.01 100.0 500 2500 0.4344 0.1089
0.1 0.1 0.01 100.0 500 3000 0.4123 0.0764
0.1 0.1 0.01 100.0 500 3500 0.4606 0.0499
0.1 0.1 0.01 100.0 500 4000 0.4495 0.0171
0.1 0.1 0.01 100.0 500 4500 0.4783 0.0223
0.1 0.1 0.01 100.0 500 5000 0.4692 0.0179
0.1 0.1 0.01 100.0 500 5500 0.4593 0.0233
0.1 0.1 0.01 100.0 500 6000 0.3965 0.0284
0.1 0.1 0.01 100.0 500 6500 0.4518 0.0332
0.1 0.1 0.01 100.0 500 7000 0.4659 0.024
0.1 0.1 0.01 100.0 500 7500 0.4615 0.0226
0.1 0.1 0.01 100.0 500 8000 0.456 0.019
0.1 0.1 0.01 100.0 500 8500 0.4616 0.0099
0.1 0.1 0.01 100.0 500 9000 0.4741 0.0099
0.1 0.1 0.01 100.0 500 9500 0.4635 0.0139
0.1 0.1 0.01 100.0 500 10000 0.4528 0.0104
0.1 0.1 0.01 100.0 500 500 0.3383 0.2108
0.1 0.1 0.01 100.0 500 1000 0.4475 0.303
0.1 0.1 0.01 100.0 500 1500 0.4381 0.2818
0.1 0.1 0.01 100.0 500 2000 0.4594 0.153
0.1 0.1 0.01 100.0 500 2500 0.469 0.1363
0.1 0.1 0.01 100.0 500 3000 0.4811 0.1608
0.1 0.1 0.01 100.0 500 3500 0.4935 0.2818
0.1 0.1 0.01 100.0 500 4000 0.4973 0.3759
0.1 0.1 0.01 100.0 500 4500 0.4979 0.4264
0.1 0.1 0.01 100.0 500 5000 0.4984 0.4019
0.1 0.1 0.01 100.0 500 5500 0.498 0.2856
0.1 0.1 0.01 100.0 500 6000 0.4971 0.135
0.1 0.1 0.01 100.0 500 6500 0.4974 0.0979
0.1 0.1 0.01 100.0 500 7000 0.4976 0.1005
0.1 0.1 0.01 100.0 500 7500 0.4968 0.1286
0.1 0.1 0.01 100.0 500 8000 0.4917 0.0733
0.1 0.1 0.01 100.0 500 8500 0.4846 0.0201
0.1 0.1 0.01 100.0 500 9000 0.4796 0.0299
0.1 0.1 0.01 100.0 500 9500 0.4888 0.0449
0.1 0.1 0.01 100.0 500 10000 0.484 0.0364
0.1 0.1 0.01 100.0 500 500 0.3635 0.2645
0.1 0.1 0.01 100.0 500 1000 0.3719 0.2579
0.1 0.1 0.01 100.0 500 1500 0.3104 0.2351
0.1 0.1 0.01 100.0 500 2000 0.3287 0.2151
0.1 0.1 0.01 100.0 500 2500 0.4183 0.1782
0.1 0.1 0.01 100.0 500 3000 0.4542 0.1937
0.1 0.1 0.01 100.0 500 3500 0.4858 0.096
0.1 0.1 0.01 100.0 500 4000 0.4889 0.0713
0.1 0.1 0.01 100.0 500 4500 0.4926 0.0268
0.1 0.1 0.01 100.0 500 5000 0.4906 0.0268
0.1 0.1 0.01 100.0 500 5500 0.4934 0.0321
0.1 0.1 0.01 100.0 500 6000 0.4942 0.0199
0.1 0.1 0.01 100.0 500 6500 0.498 0.0139
0.1 0.1 0.01 100.0 500 7000 0.4992 0.0143
0.1 0.1 0.01 100.0 500 7500 0.4994 0.0064
0.1 0.1 0.01 100.0 500 8000 0.4993 0.0042
0.1 0.1 0.01 100.0 500 8500 0.4989 0.0037
0.1 0.1 0.01 100.0 500 9000 0.4995 0.0028
0.1 0.1 0.01 100.0 500 9500 0.4997 0.0016
0.1 0.1 0.01 100.0 500 10000 0.4996 0.0045
0.1 0.1 0.01 100.0 500 500 0.3659 0.1676
0.1 0.1 0.01 100.0 500 1000 0.4636 0.1938
0.1 0.1 0.01 100.0 500 1500 0.4689 0.2104
0.1 0.1 0.01 100.0 500 2000 0.4801 0.0987
0.1 0.1 0.01 100.0 500 2500 0.4929 0.0699
0.1 0.1 0.01 100.0 500 3000 0.4966 0.081
0.1 0.1 0.01 100.0 500 3500 0.4971 0.1198
0.1 0.1 0.01 100.0 500 4000 0.4929 0.0702
0.1 0.1 0.01 100.0 500 4500 0.496 0.036
0.1 0.1 0.01 100.0 500 5000 0.4979 0.0468
0.1 0.1 0.01 100.0 500 5500 0.4973 0.0464
0.1 0.1 0.01 100.0 500 6000 0.499 0.0764
0.1 0.1 0.01 100.0 500 6500 0.4974 0.0287
0.1 0.1 0.01 100.0 500 7000 0.4959 0.0193
0.1 0.1 0.01 100.0 500 7500 0.4973 0.0121
0.1 0.1 0.01 100.0 500 8000 0.4979 0.0034
0.1 0.1 0.01 100.0 500 8500 0.4986 0.0055
0.1 0.1 0.01 100.0 500 9000 0.4966 0.0108
0.1 0.1 0.01 100.0 500 9500 0.4939 0.0093
0.1 0.1 0.01 100.0 500 10000 0.4917 0.0114
0.1 0.1 0.01 100.0 500 500 0.3251 0.2003
0.1 0.1 0.01 100.0 500 1000 0.2854 0.1408
0.1 0.1 0.01 100.0 500 1500 0.4305 0.0877
0.1 0.1 0.01 100.0 500 2000 0.4765 0.0632
0.1 0.1 0.01 100.0 500 2500 0.4875 0.0528
0.1 0.1 0.01 100.0 500 3000 0.4879 0.0454
0.1 0.1 0.01 100.0 500 3500 0.489 0.0416
0.1 0.1 0.01 100.0 500 4000 0.484 0.0109
0.1 0.1 0.01 100.0 500 4500 0.484 0.0184
0.1 0.1 0.01 100.0 500 5000 0.4794 0.0287
0.1 0.1 0.01 100.0 500 5500 0.479 0.0177
0.1 0.1 0.01 100.0 500 6000 0.4898 0.0163
0.1 0.1 0.01 100.0 500 6500 0.477 0.0224
0.1 0.1 0.01 100.0 500 7000 0.4835 0.0234
0.1 0.1 0.01 100.0 500 7500 0.4795 0.0131
0.1 0.1 0.01 100.0 500 8000 0.4872 0.0112
0.1 0.1 0.01 100.0 500 8500 0.4951 0.0097
0.1 0.1 0.01 100.0 500 9000 0.4975 0.0086
0.1 0.1 0.01 100.0 500 9500 0.4967 0.0204
0.1 0.1 0.01 100.0 500 10000 0.495 0.0105
0.1 0.1 0.01 100.0 500 500 0.2967 0.209
0.1 0.1 0.01 100.0 500 1000 0.3508 0.194
0.1 0.1 0.01 100.0 500 1500 0.4187 0.0847
0.1 0.1 0.01 100.0 500 2000 0.4492 0.1311
0.1 0.1 0.01 100.0 500 2500 0.4339 0.1822
0.1 0.1 0.01 100.0 500 3000 0.4624 0.0794
0.1 0.1 0.01 100.0 500 3500 0.4307 0.1305
0.1 0.1 0.01 100.0 500 4000 0.4308 0.1364
0.1 0.1 0.01 100.0 500 4500 0.4688 0.0934
0.1 0.1 0.01 100.0 500 5000 0.4858 0.0753
0.1 0.1 0.01 100.0 500 5500 0.492 0.0857
0.1 0.1 0.01 100.0 500 6000 0.495 0.0534
0.1 0.1 0.01 100.0 500 6500 0.4955 0.0239
0.1 0.1 0.01 100.0 500 7000 0.4924 0.0117
0.1 0.1 0.01 100.0 500 7500 0.4978 0.003
0.1 0.1 0.01 100.0 500 8000 0.4995 0.0018
0.1 0.1 0.01 100.0 500 8500 0.4993 0.0054
0.1 0.1 0.01 100.0 500 9000 0.4996 0.0046
0.1 0.1 0.01 100.0 500 9500 0.4994 0.0025
0.1 0.1 0.01 100.0 500 10000 0.4988 0.0038
0.1 0.1 0.01 100.0 500 500 0.3451 0.1928
0.1 0.1 0.01 100.0 500 1000 0.3516 0.1615
0.1 0.1 0.01 100.0 500 1500 0.4247 0.2201
0.1 0.1 0.01 100.0 500 2000 0.4544 0.1079
0.1 0.1 0.01 100.0 500 2500 0.4744 0.1036
0.1 0.1 0.01 100.0 500 3000 0.4776 0.0908
0.1 0.1 0.01 100.0 500 3500 0.4851 0.1093
0.1 0.1 0.01 100.0 500 4000 0.4728 0.0425
0.1 0.1 0.01 100.0 500 4500 0.4822 0.0191
0.1 0.1 0.01 100.0 500 5000 0.4863 0.0211
0.1 0.1 0.01 100.0 500 5500 0.4914 0.0075
0.1 0.1 0.01 100.0 500 6000 0.4929 0.0082
0.1 0.1 0.01 100.0 500 6500 0.4942 0.0092
0.1 0.1 0.01 100.0 500 7000 0.4938 0.0042
0.1 0.1 0.01 100.0 500 7500 0.4962 0.0013
0.1 0.1 0.01 100.0 500 8000 0.4968 0.0017
0.1 0.1 0.01 100.0 500 8500 0.4944 0.0002
0.1 0.1 0.01 100.0 500 9000 0.4943 0.001
0.1 0.1 0.01 100.0 500 9500 0.494 0.0015
0.1 0.1 0.01 100.0 500 10000 0.4831 0.0018
0.1 0.1 0.01 100.0 500 500 0.3149 0.2587
0.1 0.1 0.01 100.0 500 1000 0.3175 0.2594
0.1 0.1 0.01 100.0 500 1500 0.4238 0.2456
0.1 0.1 0.01 100.0 500 2000 0.4343 0.2226
0.1 0.1 0.01 100.0 500 2500 0.4692 0.3349
0.1 0.1 0.01 100.0 500 3000 0.479 0.2612
0.1 0.1 0.01 100.0 500 3500 0.4871 0.3016
0.1 0.1 0.01 100.0 500 4000 0.4933 0.3077
0.1 0.1 0.01 100.0 500 4500 0.4939 0.2939
0.1 0.1 0.01 100.0 500 5000 0.4956 0.3431
0.1 0.1 0.01 100.0 500 5500 0.4946 0.111
0.1 0.1 0.01 100.0 500 6000 0.4961 0.1201
0.1 0.1 0.01 100.0 500 6500 0.4963 0.0663
0.1 0.1 0.01 100.0 500 7000 0.4961 0.0338
0.1 0.1 0.01 100.0 500 7500 0.4976 0.0128
0.1 0.1 0.01 100.0 500 8000 0.4975 0.0047
0.1 0.1 0.01 100.0 500 8500 0.4968 0.0038
0.1 0.1 0.01 100.0 500 9000 0.4982 0.0059
0.1 0.1 0.01 100.0 500 9500 0.4989 0.0118
0.1 0.1 0.01 100.0 500 10000 0.4996 0.0144
0.1 0.1 0.01 100.0 500 500 0.4131 0.2113
0.1 0.1 0.01 100.0 500 1000 0.4174 0.1427
0.1 0.1 0.01 100.0 500 1500 0.417 0.2228
0.1 0.1 0.01 100.0 500 2000 0.4778 0.1829
0.1 0.1 0.01 100.0 500 2500 0.4629 0.1285
0.1 0.1 0.01 100.0 500 3000 0.4342 0.0552
0.1 0.1 0.01 100.0 500 3500 0.458 0.0384
0.1 0.1 0.01 100.0 500 4000 0.4621 0.0309
0.1 0.1 0.01 100.0 500 4500 0.481 0.0211
0.1 0.1 0.01 100.0 500 5000 0.4739 0.0075
0.1 0.1 0.01 100.0 500 5500 0.4931 0.0043
0.1 0.1 0.01 100.0 500 6000 0.4976 0.0009
0.1 0.1 0.01 100.0 500 6500 0.4961 0.0012
0.1 0.1 0.01 100.0 500 7000 0.4966 0.0014
0.1 0.1 0.01 100.0 500 7500 0.4959 0.0009
0.1 0.1 0.01 100.0 500 8000 0.4906 0.0006
0.1 0.1 0.01 100.0 500 8500 0.4931 0.0009
0.1 0.1 0.01 100.0 500 9000 0.4913 0.0006
0.1 0.1 0.01 100.0 500 9500 0.488 0.0011
0.1 0.1 0.01 100.0 500 10000 0.4832 0.0005
0.1 0.1 0.01 100.0 500 500 0.1847 0.1255
0.1 0.1 0.01 100.0 500 1000 0.1247 0.0678
0.1 0.1 0.01 100.0 500 1500 0.1586 0.0746
0.1 0.1 0.01 100.0 500 2000 0.2109 0.1032
0.1 0.1 0.01 100.0 500 2500 0.3847 0.0568
0.1 0.1 0.01 100.0 500 3000 0.3918 0.0554
0.1 0.1 0.01 100.0 500 3500 0.4103 0.0441
0.1 0.1 0.01 100.0 500 4000 0.4531 0.0111
0.1 0.1 0.01 100.0 500 4500 0.4386 0.0174
0.1 0.1 0.01 100.0 500 5000 0.4645 0.0076
0.1 0.1 0.01 100.0 500 5500 0.4832 0.009
0.1 0.1 0.01 100.0 500 6000 0.4835 0.0124
0.1 0.1 0.01 100.0 500 6500 0.4839 0.004
0.1 0.1 0.01 100.0 500 7000 0.4941 0.0023
0.1 0.1 0.01 100.0 500 7500 0.4901 0.002
0.1 0.1 0.01 100.0 500 8000 0.4945 0.0013
0.1 0.1 0.01 100.0 500 8500 0.4937 0.0015
0.1 0.1 0.01 100.0 500 9000 0.4948 0.0011
0.1 0.1 0.01 100.0 500 9500 0.4951 0.0006
0.1 0.1 0.01 100.0 500 10000 0.4923 0.001
0.1 0.1 0.01 100.0 500 500 0.4171 0.3575
0.1 0.1 0.01 100.0 500 1000 0.4115 0.315
0.1 0.1 0.01 100.0 500 1500 0.3962 0.3206
0.1 0.1 0.01 100.0 500 2000 0.4572 0.4428
0.1 0.1 0.01 100.0 500 2500 0.474 0.4234
0.1 0.1 0.01 100.0 500 3000 0.474 0.4568
0.1 0.1 0.01 100.0 500 3500 0.4825 0.4146
0.1 0.1 0.01 100.0 500 4000 0.4866 0.4586
0.1 0.1 0.01 100.0 500 4500 0.482 0.4777
0.1 0.1 0.01 100.0 500 5000 0.4849 0.4752
0.1 0.1 0.01 100.0 500 5500 0.4837 0.46
0.1 0.1 0.01 100.0 500 6000 0.4828 0.4553
0.1 0.1 0.01 100.0 500 6500 0.4757 0.4566
0.1 0.1 0.01 100.0 500 7000 0.4862 0.4545
0.1 0.1 0.01 100.0 500 7500 0.4919 0.3947
0.1 0.1 0.01 100.0 500 8000 0.4923 0.3769
0.1 0.1 0.01 100.0 500 8500 0.4972 0.4182
0.1 0.1 0.01 100.0 500 9000 0.4987 0.3419
0.1 0.1 0.01 100.0 500 9500 0.4987 0.2947
0.1 0.1 0.01 100.0 500 10000 0.4992 0.2208
0.1 0.1 0.01 100.0 500 500 0.3643 0.3621
0.1 0.1 0.01 100.0 500 1000 0.4238 0.3434
0.1 0.1 0.01 100.0 500 1500 0.4686 0.383
0.1 0.1 0.01 100.0 500 2000 0.4921 0.2213
0.1 0.1 0.01 100.0 500 2500 0.495 0.2318
0.1 0.1 0.01 100.0 500 3000 0.4963 0.1762
0.1 0.1 0.01 100.0 500 3500 0.4954 0.2402
0.1 0.1 0.01 100.0 500 4000 0.4972 0.2054
0.1 0.1 0.01 100.0 500 4500 0.4973 0.317
0.1 0.1 0.01 100.0 500 5000 0.4966 0.2673
0.1 0.1 0.01 100.0 500 5500 0.4971 0.0754
0.1 0.1 0.01 100.0 500 6000 0.4992 0.0931
0.1 0.1 0.01 100.0 500 6500 0.4993 0.0947
0.1 0.1 0.01 100.0 500 7000 0.4996 0.0388
0.1 0.1 0.01 100.0 500 7500 0.499 0.0221
0.1 0.1 0.01 100.0 500 8000 0.4986 0.0519
0.1 0.1 0.01 100.0 500 8500 0.4979 0.0422
0.1 0.1 0.01 100.0 500 9000 0.4975 0.0457
0.1 0.1 0.01 100.0 500 9500 0.4973 0.0248
0.1 0.1 0.01 100.0 500 10000 0.4989 0.027
0.1 0.1 0.01 100.0 500 500 0.397 0.1809
0.1 0.1 0.01 100.0 500 1000 0.4384 0.1959
0.1 0.1 0.01 100.0 500 1500 0.4693 0.1666
0.1 0.1 0.01 100.0 500 2000 0.4736 0.152
0.1 0.1 0.01 100.0 500 2500 0.4924 0.1904
0.1 0.1 0.01 100.0 500 3000 0.4852 0.2955
0.1 0.1 0.01 100.0 500 3500 0.4836 0.3011
0.1 0.1 0.01 100.0 500 4000 0.4917 0.313
0.1 0.1 0.01 100.0 500 4500 0.493 0.294
0.1 0.1 0.01 100.0 500 5000 0.4943 0.2081
0.1 0.1 0.01 100.0 500 5500 0.4974 0.1412
0.1 0.1 0.01 100.0 500 6000 0.4967 0.1446
0.1 0.1 0.01 100.0 500 6500 0.4978 0.099
0.1 0.1 0.01 100.0 500 7000 0.4987 0.0432
0.1 0.1 0.01 100.0 500 7500 0.4986 0.0493
0.1 0.1 0.01 100.0 500 8000 0.4986 0.0522
0.1 0.1 0.01 100.0 500 8500 0.4993 0.0968
0.1 0.1 0.01 100.0 500 9000 0.4978 0.0815
0.1 0.1 0.01 100.0 500 9500 0.4985 0.1211
0.1 0.1 0.01 100.0 500 10000 0.4993 0.161
0.1 0.1 0.01 100.0 500 500 0.2841 0.2575
0.1 0.1 0.01 100.0 500 1000 0.3898 0.2939
0.1 0.1 0.01 100.0 500 1500 0.4454 0.2201
0.1 0.1 0.01 100.0 500 2000 0.4158 0.1629
0.1 0.1 0.01 100.0 500 2500 0.4635 0.1509
0.1 0.1 0.01 100.0 500 3000 0.4714 0.1104
0.1 0.1 0.01 100.0 500 3500 0.4927 0.212
0.1 0.1 0.01 100.0 500 4000 0.4965 0.1908
0.1 0.1 0.01 100.0 500 4500 0.4974 0.1458
0.1 0.1 0.01 100.0 500 5000 0.4982 0.1182
0.1 0.1 0.01 100.0 500 5500 0.4973 0.0735
0.1 0.1 0.01 100.0 500 6000 0.496 0.1236
0.1 0.1 0.01 100.0 500 6500 0.4898 0.0464
0.1 0.1 0.01 100.0 500 7000 0.4929 0.0174
0.1 0.1 0.01 100.0 500 7500 0.4964 0.0149
0.1 0.1 0.01 100.0 500 8000 0.4976 0.0281
0.1 0.1 0.01 100.0 500 8500 0.4972 0.0176
0.1 0.1 0.01 100.0 500 9000 0.4965 0.0075
0.1 0.1 0.01 100.0 500 9500 0.4979 0.0188
0.1 0.1 0.01 100.0 500 10000 0.4966 0.0059
0.1 0.1 0.01 100.0 500 500 0.4068 0.3164
0.1 0.1 0.01 100.0 500 1000 0.4482 0.3823
0.1 0.1 0.01 100.0 500 1500 0.4738 0.3494
0.1 0.1 0.01 100.0 500 2000 0.4811 0.3328
0.1 0.1 0.01 100.0 500 2500 0.4733 0.2514
0.1 0.1 0.01 100.0 500 3000 0.4873 0.2048
0.1 0.1 0.01 100.0 500 3500 0.4908 0.1826
0.1 0.1 0.01 100.0 500 4000 0.4916 0.0987
0.1 0.1 0.01 100.0 500 4500 0.4937 0.0997
0.1 0.1 0.01 100.0 500 5000 0.4939 0.1196
0.1 0.1 0.01 100.0 500 5500 0.4859 0.0937
0.1 0.1 0.01 100.0 500 6000 0.4857 0.0976
0.1 0.1 0.01 100.0 500 6500 0.4943 0.2519
0.1 0.1 0.01 100.0 500 7000 0.4888 0.3022
0.1 0.1 0.01 100.0 500 7500 0.4944 0.2606
0.1 0.1 0.01 100.0 500 8000 0.4944 0.1769
0.1 0.1 0.01 100.0 500 8500 0.4942 0.1676
0.1 0.1 0.01 100.0 500 9000 0.4939 0.0758
0.1 0.1 0.01 100.0 500 9500 0.4947 0.0893
0.1 0.1 0.01 100.0 500 10000 0.4925 0.0857
0.1 0.1 0.01 100.0 500 500 0.4235 0.1228
0.1 0.1 0.01 100.0 500 1000 0.4288 0.131
0.1 0.1 0.01 100.0 500 1500 0.4242 0.1122
0.1 0.1 0.01 100.0 500 2000 0.4768 0.0356
0.1 0.1 0.01 100.0 500 2500 0.4846 0.0115
0.1 0.1 0.01 100.0 500 3000 0.494 0.0208
0.1 0.1 0.01 100.0 500 3500 0.4943 0.0228
0.1 0.1 0.01 100.0 500 4000 0.4962 0.0355
0.1 0.1 0.01 100.0 500 4500 0.4984 0.0318
0.1 0.1 0.01 100.0 500 5000 0.4991 0.0225
0.1 0.1 0.01 100.0 500 5500 0.4989 0.0254
0.1 0.1 0.01 100.0 500 6000 0.499 0.0213
0.1 0.1 0.01 100.0 500 6500 0.4993 0.0178
0.1 0.1 0.01 100.0 500 7000 0.4973 0.0084
0.1 0.1 0.01 100.0 500 7500 0.4964 0.0082
0.1 0.1 0.01 100.0 500 8000 0.4986 0.0124
0.1 0.1 0.01 100.0 500 8500 0.499 0.0125
0.1 0.1 0.01 100.0 500 9000 0.4977 0.0058
0.1 0.1 0.01 100.0 500 9500 0.4982 0.0025
0.1 0.1 0.01 100.0 500 10000 0.498 0.0027
0.1 0.1 0.01 100.0 500 500 0.365 0.1942
