c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 500 0.3376 0.1352
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4628 0.0415
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4672 0.0249
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4744 0.0178
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4936 0.0222
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4943 0.0176
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4925 0.0089
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4823 0.0068
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4893 0.0057
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4703 0.0096
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4971 0.009
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4935 0.0088
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4858 0.0108
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4948 0.0068
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4984 0.0044
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4985 0.0043
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4986 0.0029
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4995 0.0022
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4995 0.0036
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4995 0.0016
0.1 0.1 0.01 100 0 0.1 1000 500 0.3147 0.1784
0.1 0.1 0.01 100 0 0.1 1000 1000 0.3756 0.096
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4306 0.0483
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4773 0.0734
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4851 0.0309
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4922 0.0273
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4941 0.0147
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4908 0.0253
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4938 0.0054
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4967 0.002
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4943 0.0021
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4948 0.0006
0.1 0.1 0.01 100 0 0.1 1000 6500 0.499 0.0002
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4993 0.0004
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4992 0.0006
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4997 0.0001
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4998 0.0002
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4999 0.0002
